"x"	"y"	"pres"
"402"	2575696	1122696	0
"403"	2579599.8	1127302.9	0
"404"	2579601.4	1127499.5	0
"405"	2573712.5	1120867.6	0
"406"	2577500	1126700	0
"407"	2579502.8	1127600	0
"408"	2580802.5	1142999.3	0
"409"	2582499.4	1131896.3	0
"410"	2576801.1	1121397.6	0
"411"	2582601.9	1131597	0
"412"	2571998.7	1119600.6	0
"413"	2581401.6	1145079.7	0
"414"	2577197.4	1151400.4	0
"415"	2573303.3	1146902.1	0
"416"	2578708.6	1128800.1	0
"417"	2577601.9	1137196.5	0
"418"	2579728.7	1124201.3	0
"419"	2572099.8	1118101.7	0
"420"	2580198.6	1124398.4	0
"421"	2577204.8	1149998.7	1
"422"	2561305.9	1142601.2	0
"423"	2580121.1	1124212.8	0
"424"	2577598.6	1136899.7	0
"425"	2571602.3	1118200.9	0
"426"	2581700.8	1147601.3	1
"427"	2580298.8	1124153	0
"428"	2578901.3	1127899.8	0
"429"	2580700.2	1126000.6	0
"430"	2569001.5	1124401.1	1
"431"	2566600	1134402	0
"432"	2578800.8	1128301.4	0
"433"	2582798.9	1131200.4	0
"434"	2578801.6	1128500.6	0
"435"	2572101.9	1116902.5	0
"436"	2578699.8	1128500.5	0
"437"	2571900.3	1117895.8	0
"438"	2581610.7	1147395.8	1
"439"	2578101.4	1122995.5	0
"440"	2579802.4	1128600.2	0
"441"	2579002	1127899.7	0
"442"	2579501.8	1124097	0
"443"	2579400.6	1128199.1	0
"444"	2577098.6	1151397	0
"445"	2579852.5	1124154.4	0
"446"	2571600.8	1117394.3	0
"447"	2582301.3	1131100.7	0
"448"	2579999.7	1128699.3	0
"449"	2571697	1117498.5	0
"450"	2578799.4	1128401.5	0
"451"	2572099	1117900.4	0
"452"	2575301.5	1143399.1	1
"453"	2580099.4	1128697.9	0
"454"	2571703.9	1116898.8	0
"455"	2579400.3	1127799.3	0
"456"	2582101.1	1130491	0
"457"	2579400.4	1128498.4	0
"458"	2571600	1116800	0
"459"	2576700	1120900	0
"460"	2578002.1	1122999.6	0
"461"	2571599.6	1117001.2	0
"462"	2571999.9	1118900.2	0
"463"	2572599.1	1146802.1	1
"464"	2577997.6	1123103.8	0
"465"	2581899.6	1130397.8	0
"466"	2582997.1	1131788.6	0
"467"	2571499.4	1117200.6	0
"468"	2579602.3	1127994.2	0
"469"	2571708.7	1117300.1	0
"470"	2572705.1	1134195.4	0
"471"	2571799.5	1117699.5	0
"472"	2574750	1146348.6	1
"473"	2570900	1135200	1
"474"	2570709.9	1122288.1	1
"475"	2560737.6	1143528.2	1
"476"	2583260.3	1130892.4	0
"477"	2581883.4	1130635.3	0
"478"	2572004.8	1148103.8	1
"479"	2580596.6	1133307	1
"480"	2579103.4	1152501.4	0
"481"	2572196.4	1137698.4	0
"482"	2580599.5	1126794.6	0
"483"	2581100.4	1154798.8	1
"484"	2579503.2	1125604.8	0
"485"	2581097	1154305.9	0
"486"	2580602.7	1125896.4	0
"487"	2571498.3	1135601.9	1
"488"	2567400	1136200	0
"489"	2574702.8	1143702	1
"490"	2581199.1	1154799.7	0
